序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
991,高雄市,1988/05,楠梓,27.4,0.78,8.9,77.0,-,37,23.14,13.2,2.73,0.795,1.888,27.78,-,-,80.67,-
992,高雄市,1988/05,前金,11.0,-,11.9,-,-,34,15.09,19.16,-,-,-,27.97,-,-,72.09,-
993,高雄市,1988/05,復興,21.6,1.87,15.1,-,-,37,16.77,22.81,-,-,-,29.58,-,-,63.0,-
994,高雄市,1988/05,鳳山,19.3,1.55,13.8,-,-,61,9.0,52.64,-,-,-,28.28,-,-,54.65,-
995,高雄市,1988/04,楠梓,28.1,0.91,16.3,128.0,-,42,19.84,22.1,2.83,0.645,2.136,22.67,-,-,79.72,-
996,高雄市,1988/04,前金,14.7,-,21.5,-,-,46,20.4,28.25,-,-,-,23.05,-,-,71.69,-
997,高雄市,1988/04,復興,25.2,1.77,33.2,-,-,54,23.2,33.06,-,-,-,24.76,-,-,63.13,-
998,高雄市,1988/04,鳳山,27.1,1.63,20.0,-,-,55,18.27,32.5,-,-,-,23.37,-,-,71.27,-
999,高雄市,1988/03,楠梓,23.7,0.82,18.2,172.0,-,43,19.36,23.23,2.45,0.538,1.866,19.96,-,-,77.95,-
1000,高雄市,1988/03,前金,33.7,0.76,15.8,-,-,44,14.64,29.02,-,-,-,20.58,-,-,74.09,-
1001,高雄市,1988/03,復興,21.0,1.81,18.8,-,-,58,23.45,34.76,-,-,-,22.71,-,-,63.59,-
1002,高雄市,1988/03,鳳山,45.6,1.26,12.9,-,-,58,25.87,35.67,-,-,-,20.67,-,-,59.56,-
1003,高雄市,1988/02,楠梓,21.7,-,22.2,131.0,-,42,18.33,23.56,2.38,0.542,1.792,18.41,-,-,76.53,-
1004,高雄市,1988/02,前金,17.5,0.77,15.7,-,-,48,18.54,30.09,-,-,-,18.42,-,-,76.14,-
1005,高雄市,1988/02,復興,13.6,1.34,18.3,-,-,42,18.39,26.89,-,-,-,21.43,-,-,63.2,-
1006,高雄市,1988/02,鳳山,50.0,1.85,18.2,-,-,-,-,-,-,-,-,19.09,-,-,61.9,-
1007,高雄市,1988/01,楠梓,22.5,0.75,16.6,125.0,-,46,21.51,23.94,2.15,0.338,1.772,17.29,-,-,84.98,-
1008,高雄市,1988/01,前金,19.9,1.06,14.3,-,-,43,17.48,25.07,-,-,-,18.39,-,-,78.73,-
1009,高雄市,1988/01,復興,19.2,1.67,12.5,-,-,59,23.01,37.23,-,-,-,21.18,-,-,62.54,-
1010,高雄市,1988/01,鳳山,41.2,1.52,12.1,-,-,24,13.55,12.56,-,-,-,19.01,-,-,67.91,-
1011,高雄市,1987/12,楠梓,20.9,0.79,18.7,107.0,-,52,24.48,26.6,2.16,0.301,1.821,16.59,-,-,83.49,-
1012,高雄市,1987/12,前金,20.8,1.05,17.9,-,-,52,19.5,33.33,-,-,-,18.54,-,-,73.75,-
1013,高雄市,1987/12,復興,-,1.41,16.7,-,-,76,38.73,41.01,-,-,-,21.05,-,-,58.56,-
1014,高雄市,1987/12,鳳山,37.9,1.36,12.8,-,-,-,-,-,-,-,-,19.72,-,-,59.19,-
1015,高雄市,1987/11,楠梓,26.0,0.79,16.9,174.0,-,43,18.85,23.81,2.25,0.299,1.912,21.92,-,-,89.4,-
1016,高雄市,1987/11,前金,27.4,1.03,15.0,-,-,44,16.36,28.1,-,-,-,24.05,-,-,48.25,-
1017,高雄市,1987/11,鳳山,30.6,-,14.8,-,-,37,-,22.24,-,-,-,25.96,-,-,70.63,-
1018,高雄市,1987/10,楠梓,27.1,0.77,16.3,191.0,-,41,18.34,22.25,2.23,0.366,1.852,24.44,-,-,89.49,-
1019,高雄市,1987/10,前金,18.2,1.48,15.1,-,-,37,13.63,23.73,-,-,-,26.27,-,-,47.44,-
1020,高雄市,1987/10,復興,21.7,2.53,24.9,-,-,38,16.53,21.47,-,-,-,28.25,-,-,65.3,-
1021,高雄市,1987/10,鳳山,19.3,1.05,-,-,-,22,-,19.35,-,-,-,27.98,-,-,69.16,-
1022,高雄市,1987/09,楠梓,34.1,0.74,20.7,113.0,-,43,19.6,23.19,2.33,0.437,1.878,25.17,-,-,86.81,-
1023,高雄市,1987/09,前金,16.8,1.64,11.8,-,-,34,11.73,22.14,-,-,-,27.43,-,-,53.11,-
1024,高雄市,1987/09,復興,23.4,-,15.1,-,-,44,14.87,28.88,-,-,-,29.58,-,-,48.71,-
1025,高雄市,1987/09,鳳山,16.7,1.07,13.5,-,-,20,9.3,12.24,-,-,-,28.36,-,-,74.04,-
1026,高雄市,1987/08,楠梓,24.9,0.67,3.1,63.0,-,36,24.83,10.91,2.19,0.467,1.699,26.91,-,-,81.58,-
1027,高雄市,1987/08,前金,12.2,1.78,6.7,-,-,33,15.86,15.82,-,-,-,-,-,-,55.63,-
1028,高雄市,1987/08,復興,17.3,1.48,9.5,-,-,38,15.63,23.21,-,-,-,30.68,-,-,57.13,-
1029,高雄市,1987/08,鳳山,9.2,0.9,7.4,-,-,11,5.8,6.37,-,-,-,28.51,-,-,68.24,-
1030,高雄市,1987/07,楠梓,34.8,0.77,5.3,62.0,-,32,22.44,9.48,2.33,0.658,1.626,26.73,-,-,85.96,-
1031,高雄市,1987/07,前金,13.1,1.89,-,-,-,35,18.46,13.6,-,-,-,-,-,-,-,-
1032,高雄市,1987/07,復興,14.8,1.94,6.0,-,-,38,23.15,17.63,-,-,-,29.62,-,-,62.08,-
1033,高雄市,1987/07,鳳山,13.7,0.7,5.3,-,-,11,5.63,5.78,-,-,-,28.37,-,-,80.63,-
1034,高雄市,1987/06,楠梓,26.6,0.75,9.8,87.0,-,22,11.33,10.49,2.32,0.427,1.845,27.17,-,-,78.23,-
1035,高雄市,1987/06,前金,19.5,1.6,-,-,-,37,15.73,21.97,-,-,-,29.25,-,-,68.16,-
1036,高雄市,1987/06,復興,16.8,2.28,11.2,-,-,33,14.43,19.49,-,-,-,27.93,-,-,70.58,-
1037,高雄市,1987/06,鳳山,14.6,1.4,10.0,-,-,27,10.75,20.72,-,-,-,27.93,-,-,73.03,-
1038,高雄市,1987/05,楠梓,31.0,0.82,-,96.0,-,30,20.35,9.5,2.21,0.413,1.792,26.35,-,-,68.28,-
1039,高雄市,1987/05,前金,12.7,1.7,7.5,-,-,31,11.53,18.87,-,-,-,27.66,-,-,65.22,-
1040,高雄市,1987/05,復興,33.9,1.34,11.0,-,-,38,12.38,27.19,-,-,-,-,-,-,-,-
1041,高雄市,1987/05,鳳山,16.4,1.48,11.0,-,-,21,-,10.92,-,-,-,27.36,-,-,-,-
1042,高雄市,1987/04,楠梓,43.5,0.76,-,114.0,-,32,16.82,14.48,2.19,0.327,1.869,23.75,-,-,73.16,-
1043,高雄市,1987/04,前金,26.6,1.2,10.9,-,-,-,8.97,-,-,-,-,26.28,-,-,60.26,-
1044,高雄市,1987/04,復興,47.1,1.72,-,-,-,62,31.7,44.99,-,-,-,-,-,-,-,-
1045,高雄市,1987/04,鳳山,33.5,1.34,12.7,-,-,32,10.71,23.15,-,-,-,24.74,-,-,-,-
1046,高雄市,1987/03,楠梓,29.7,0.8,20.7,128.0,-,61,34.15,26.86,-,-,-,22.24,-,-,89.81,-
1047,高雄市,1987/03,前金,14.7,1.58,9.5,104.0,-,39,14.97,28.06,-,-,-,22.28,-,-,69.34,-
1048,高雄市,1987/03,復興,47.1,1.95,7.4,-,-,49,20.2,31.4,-,-,-,-,-,-,-,-
1049,高雄市,1987/03,鳳山,22.8,1.35,11.9,-,-,27,12.57,16.33,-,-,-,22.94,-,-,-,-
1050,高雄市,1987/02,楠梓,23.1,0.79,-,143.0,-,54,27.66,25.46,2.09,-,1.861,18.37,-,-,74.88,-
1051,高雄市,1987/02,前金,12.7,1.88,12.6,129.0,-,-,-,-,-,-,-,19.91,-,-,61.94,-
1052,高雄市,1987/02,復興,13.9,1.91,11.1,-,-,47,22.91,28.58,-,-,-,-,-,-,-,-
1053,高雄市,1987/02,鳳山,17.5,1.55,17.4,-,-,24,-,13.71,-,-,-,18.98,-,-,-,-
1054,高雄市,1987/01,楠梓,21.3,0.78,-,137.0,-,50,23.59,25.47,2.07,0.286,1.839,17.01,-,-,71.24,-
1055,高雄市,1987/01,前金,10.5,1.69,12.4,-,-,-,-,-,-,-,-,17.17,-,-,66.32,-
1056,高雄市,1987/01,復興,10.5,2.47,16.4,-,-,51,27.74,27.28,-,-,-,-,-,-,-,-
1057,高雄市,1987/01,鳳山,15.9,1.64,17.5,-,-,17,9.7,9.83,-,-,-,17.88,-,-,-,-
1058,高雄市,1986/12,楠梓,21.5,0.81,-,150.0,-,58,29.84,27.5,2.1,0.26,1.85,18.74,-,-,71.51,-
1059,高雄市,1986/12,前金,12.9,1.52,10.0,160.0,-,52,21.08,34.41,-,-,-,18.55,-,-,68.34,-
1060,高雄市,1986/12,復興,12.8,2.38,15.7,-,-,56,29.26,34.02,-,-,-,-,-,-,-,-
1061,高雄市,1986/12,鳳山,24.0,1.48,15.6,-,-,29,15.52,14.15,-,-,-,19.2,-,-,-,-
1062,高雄市,1986/11,楠梓,31.6,0.77,-,151.0,-,42,19.4,22.09,-,-,-,22.57,-,-,76.79,-
1063,高雄市,1986/11,前金,17.2,2.01,10.8,-,-,43,13.89,29.83,-,-,-,22.18,-,-,69.54,-
1064,高雄市,1986/11,復興,15.5,2.16,13.6,-,-,44,31.05,23.82,-,-,-,-,-,-,-,-
1065,高雄市,1986/11,鳳山,29.5,1.53,16.9,-,-,39,20.91,-,-,-,-,-,-,-,-,-
1066,高雄市,1986/10,楠梓,23.0,0.5,26.2,153.0,-,42,19.35,21.8,-,-,-,25.26,-,-,76.41,-
1067,高雄市,1986/10,前金,14.9,1.7,16.7,-,-,33,8.08,23.25,-,-,-,25.83,-,-,65.47,-
1068,高雄市,1986/10,復興,22.7,2.23,14.4,-,-,36,22.44,20.29,-,-,-,-,-,-,-,-
1069,高雄市,1986/10,鳳山,20.3,0.98,24.1,-,-,45,13.32,32.65,-,-,-,-,-,-,-,-
1070,高雄市,1986/09,前金,11.5,1.51,15.7,-,-,35,10.58,23.88,-,-,-,27.6,-,-,68.7,-
1071,高雄市,1986/09,復興,42.4,1.94,12.6,-,-,37,16.69,19.87,-,-,-,-,-,-,-,-
1072,高雄市,1986/09,鳳山,15.1,1.04,22.0,-,-,30,-,23.09,-,-,-,-,-,-,-,-
1073,高雄市,1986/08,楠梓,-,-,-,81.0,-,-,-,-,-,-,-,27.82,-,-,78.81,-
1074,高雄市,1986/08,前金,19.5,1.98,15.6,-,-,26,-,18.86,-,-,-,29.31,-,-,67.77,-
1075,高雄市,1986/08,復興,51.3,1.81,11.9,-,-,31,14.1,17.16,-,-,-,-,-,-,-,-
1076,高雄市,1986/08,鳳山,21.8,-,17.2,-,-,28,-,21.06,-,-,-,-,-,-,-,-
1077,高雄市,1986/07,前金,23.0,2.13,10.1,-,-,37,16.63,19.32,-,-,-,29.74,-,-,67.4,-
1078,高雄市,1986/07,復興,48.2,1.5,9.4,-,-,-,11.82,-,-,-,-,-,-,-,-,-
1079,高雄市,1986/07,鳳山,19.6,-,-,-,-,24,-,16.17,-,-,-,-,-,-,-,-
1080,高雄市,1986/06,前金,28.4,1.94,-,-,-,36,14.14,22.53,-,-,-,27.06,-,-,78.3,-
1081,高雄市,1986/06,復興,48.2,1.05,6.8,-,-,23,14.7,11.84,-,-,-,-,-,-,-,-
1082,高雄市,1986/06,鳳山,-,-,-,-,-,20,7.7,12.15,-,-,-,-,-,-,-,-
1083,高雄市,1986/05,前金,42.0,1.34,10.1,-,-,46,26.8,20.63,-,-,-,26.71,-,-,71.93,-
1084,高雄市,1986/05,復興,-,1.0,-,-,-,23,19.28,-,-,-,-,26.8,-,-,73.62,-
1085,高雄市,1986/05,鳳山,24.2,0.71,12.1,-,-,27,12.07,17.24,-,-,-,-,-,-,-,-
1086,高雄市,1986/04,前金,21.6,1.29,8.9,-,-,36,11.33,24.31,-,-,-,26.01,-,-,68.72,-
1087,高雄市,1986/04,復興,51.6,1.43,10.3,-,-,33,17.26,19.66,-,-,-,25.61,-,-,69.85,-
1088,高雄市,1986/04,鳳山,19.1,0.7,10.0,-,-,22,-,16.07,-,-,-,-,-,-,366.36,-
1089,高雄市,1986/03,前金,16.4,-,9.3,-,-,35,15.43,19.57,-,-,-,20.96,-,-,67.09,-
1090,高雄市,1986/03,復興,63.3,-,19.7,-,-,42,29.04,19.56,-,-,-,20.7,-,-,64.34,-
1091,高雄市,1986/03,鳳山,23.1,1.22,10.8,-,-,47,22.99,24.87,-,-,-,-,-,-,-,-
1092,高雄市,1986/02,前金,11.5,-,9.8,-,-,38,16.82,21.5,-,-,-,16.67,-,-,70.9,-
1093,高雄市,1986/02,復興,39.2,-,13.4,-,-,32,24.95,17.23,-,-,-,16.6,-,-,36.38,-
1094,高雄市,1986/02,鳳山,31.5,-,16.4,-,-,21,-,13.64,-,-,-,-,-,-,-,-
1095,高雄市,1986/01,前金,25.0,1.73,14.3,-,-,42,17.9,25.41,-,-,-,16.28,-,-,66.15,-
1096,高雄市,1986/01,復興,80.8,2.44,25.4,-,-,38,31.79,-,-,-,-,16.41,-,-,54.08,-
1097,高雄市,1986/01,鳳山,30.4,-,19.3,-,-,16,6.94,9.66,-,-,-,-,-,-,-,-
1098,高雄市,1985/11,前金,24.3,2.07,-,-,-,22,-,16.62,-,-,-,22.51,-,-,-,-
1099,高雄市,1985/11,復興,-,-,32.7,-,-,19,-,10.16,-,-,-,23.22,-,-,49.67,-
1100,高雄市,1985/11,鳳山,20.6,1.0,-,-,-,37,14.22,23.73,-,-,-,-,-,-,-,-
1101,高雄市,1985/10,前金,26.8,2.57,-,-,-,33,-,25.58,-,-,-,25.48,-,-,-,-
1102,高雄市,1985/10,復興,-,1.24,37.1,-,-,12,-,8.5,-,-,-,26.41,-,-,57.72,-
1103,高雄市,1985/10,鳳山,21.1,0.58,24.8,-,-,10,-,8.01,-,-,-,27.15,-,-,-,-
1104,高雄市,1985/09,前金,18.0,4.44,-,-,-,48,-,35.49,-,-,-,26.8,-,-,-,-
1105,高雄市,1985/09,復興,65.2,0.97,25.5,-,-,-,-,-,-,-,-,27.21,-,-,76.27,-
1106,高雄市,1985/09,鳳山,18.4,-,21.6,-,-,-,-,-,-,-,-,27.95,-,-,-,-
1107,高雄市,1985/08,前金,18.0,-,-,-,-,33,21.78,-,-,-,-,26.64,-,-,-,-
1108,高雄市,1985/08,復興,61.5,3.18,13.9,74.0,-,30,11.45,18.31,-,-,-,27.68,-,-,65.69,-
1109,高雄市,1985/08,鳳山,19.6,0.71,-,-,-,25,-,-,-,-,-,28.76,-,-,-,-
1110,高雄市,1985/07,前金,27.0,-,-,-,-,48,34.18,24.07,-,-,-,28.06,-,-,-,-
1111,高雄市,1985/07,復興,71.5,3.71,13.4,-,-,27,-,18.05,-,-,-,28.13,-,-,62.83,-
1112,高雄市,1985/07,鳳山,31.3,0.82,10.3,-,-,23,-,15.87,-,-,-,28.54,-,-,-,-
1113,高雄市,1985/06,前金,-,1.72,19.4,-,-,62,25.95,29.56,-,-,-,24.07,-,-,-,-
1114,高雄市,1985/06,復興,65.6,-,18.6,-,-,48,-,-,-,-,-,26.87,-,-,70.87,-
1115,高雄市,1985/06,鳳山,-,-,15.4,82.0,-,26,-,23.41,-,-,-,27.38,-,-,51.1,-
1116,高雄市,1985/05,前金,40.9,-,15.1,-,-,53,21.35,26.48,-,-,-,25.0,-,-,-,-
1117,高雄市,1985/05,復興,66.6,-,-,-,-,-,-,-,-,-,-,27.18,-,-,71.74,-
1118,高雄市,1985/05,鳳山,43.8,-,13.9,83.0,-,31,-,27.08,-,-,-,28.52,-,-,53.72,-
1119,高雄市,1985/03,前金,31.7,-,24.1,-,-,41,15.48,25.24,-,-,-,18.96,-,-,-,-
1120,高雄市,1985/03,復興,76.8,-,21.3,-,-,60,31.61,31.15,-,-,-,19.21,-,-,85.2,-
1121,高雄市,1985/03,鳳山,31.3,1.12,11.9,124.0,-,49,-,32.25,-,-,-,19.75,-,-,61.62,-
1122,高雄市,1985/02,前金,20.2,-,30.7,-,-,57,19.92,36.91,-,-,-,19.2,-,-,-,-
1123,高雄市,1985/02,復興,107.8,1.31,18.9,-,-,87,57.36,35.65,-,-,-,20.4,-,-,86.42,-
1124,高雄市,1985/02,鳳山,42.8,1.82,9.9,-,-,-,-,-,-,-,-,19.91,-,-,71.52,-
1125,高雄市,1985/01,前金,-,-,24.5,-,-,44,15.76,27.76,-,-,-,17.13,-,-,-,-
1126,高雄市,1985/01,復興,75.3,-,22.5,114.0,-,71,48.38,32.54,-,-,-,17.48,-,-,81.75,-
1127,高雄市,1984/12,前金,-,1.18,-,-,-,34,11.99,21.13,-,-,-,18.66,-,-,-,-
1128,高雄市,1984/12,復興,54.1,1.35,30.4,40.0,-,53,24.13,31.31,-,-,-,18.94,-,-,80.75,-
1129,高雄市,1984/12,鳳山,32.6,1.3,14.1,-,-,50,-,25.55,-,-,-,18.08,-,-,-,-
1130,高雄市,1984/11,鳳山,32.8,1.45,27.3,-,-,43,20.81,22.72,-,-,-,23.93,-,-,43.84,-
1131,高雄市,1984/10,前金,27.6,1.95,21.2,-,-,36,14.57,20.53,-,-,-,25.54,-,-,40.8,-
1132,高雄市,1984/10,復興,41.9,0.65,19.0,86.0,-,52,29.28,24.46,-,-,-,25.86,-,-,52.17,-
1133,高雄市,1984/10,鳳山,21.2,1.36,18.7,-,-,33,9.52,23.21,-,-,-,26.25,-,-,60.26,-
1134,高雄市,1984/09,前金,15.0,2.45,-,-,-,31,14.19,16.49,-,-,-,27.62,-,-,25.23,-
1135,高雄市,1984/09,復興,62.6,0.59,10.4,53.0,-,43,26.09,19.64,-,-,-,27.66,-,-,25.32,-
1136,高雄市,1984/09,鳳山,27.5,-,9.5,16.0,-,-,-,-,-,-,-,27.6,-,-,46.11,-
1137,高雄市,1984/08,前金,23.5,2.02,-,-,-,30,14.48,15.68,-,-,-,27.56,-,-,27.16,-
1138,高雄市,1984/08,鳳山,40.3,1.97,18.5,19.0,-,16,8.16,9.85,-,-,-,27.44,-,-,59.42,-
1139,高雄市,1984/07,前金,-,3.26,-,-,-,25,17.24,10.14,-,-,-,28.05,-,-,27.09,-
1140,高雄市,1984/07,鳳山,27.5,1.13,7.5,-,-,-,-,-,-,-,-,28.29,-,-,70.63,-
1141,高雄市,1984/06,前金,20.0,2.41,-,54.0,-,27,14.84,11.85,-,-,-,28.11,-,-,138.41,-
1142,高雄市,1984/06,鳳山,19.9,1.07,-,43.0,-,-,-,-,-,-,-,27.96,-,-,75.56,-
1143,高雄市,1984/04,前金,33.4,2.3,8.5,111.0,-,-,-,-,-,-,-,23.45,-,-,53.63,-
1144,高雄市,1984/04,復興,42.2,1.93,10.8,71.0,-,49,35.78,32.43,-,-,-,24.36,-,-,58.58,-
1145,高雄市,1984/04,鳳山,43.1,2.32,7.7,101.0,-,32,15.44,17.17,-,-,-,24.48,-,-,81.93,-
1146,高雄市,1984/03,前金,28.5,1.73,8.1,115.0,-,-,-,-,-,-,-,19.77,-,-,51.2,-
1147,高雄市,1984/03,復興,39.8,1.46,10.3,119.0,-,54,38.56,30.5,-,-,-,20.86,-,-,74.15,-
1148,高雄市,1984/03,鳳山,45.9,2.06,7.8,81.0,-,41,23.2,22.37,-,-,-,21.15,-,-,78.78,-
1149,高雄市,1984/02,前金,16.6,0.43,8.5,61.0,-,19,13.26,6.95,-,-,-,17.32,-,-,62.5,-
1150,高雄市,1984/02,復興,-,-,8.5,88.0,-,46,35.87,27.37,-,-,-,17.98,-,-,89.96,-
1151,高雄市,1984/02,鳳山,62.8,1.33,7.3,78.0,-,49,23.01,25.29,-,-,-,18.06,-,-,81.47,-
1152,高雄市,1984/01,前金,20.0,0.96,-,66.0,-,24,14.53,9.85,-,-,-,16.54,-,-,61.08,-
1153,高雄市,1984/01,復興,22.3,1.09,10.8,99.0,-,52,40.55,32.81,2.03,0.511,1.904,16.86,-,-,70.03,-
1154,高雄市,1984/01,鳳山,57.5,1.25,15.3,60.0,-,56,20.41,34.68,-,-,-,17.05,-,-,81.62,-
1155,高雄市,1983/12,前金,30.6,1.61,-,117.0,-,28,17.15,11.52,-,-,-,18.0,-,-,66.11,-
1156,高雄市,1983/12,鳳山,52.7,-,-,-,-,53,17.68,34.92,-,-,-,18.96,-,-,77.42,-
1157,高雄市,1983/11,前金,-,1.52,10.3,141.0,-,34,16.69,16.75,-,-,-,22.05,-,-,72.65,-
1158,高雄市,1983/11,復興,36.7,3.82,15.0,88.0,-,62,30.69,38.32,2.09,-,1.742,21.66,-,-,70.07,-
1159,高雄市,1983/11,鳳山,49.3,-,-,-,-,48,14.52,33.14,-,-,-,21.8,-,-,76.49,-
1160,高雄市,1983/10,復興,45.9,1.66,8.2,119.0,-,46,24.66,21.35,-,-,-,27.72,-,-,89.84,-
1161,高雄市,1983/10,鳳山,52.1,-,-,251.0,-,38,10.65,27.38,-,-,-,27.03,-,-,88.98,-
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
