,SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
55,2.2,0.24,23.2,14.0,14.0,3.59,10.0,1.922,0.139,1.7830000000000001,1.73,28.56,79.29
56,2.9,0.32,22.4,11.0,14.0,3.64,10.8,1.893,0.11900000000000001,1.774,2.1,29.32,79.31
57,4.1,0.35,19.5,8.0,19.0,5.38,13.98,1.959,0.127,1.8330000000000002,1.5,29.58,76.51
58,4.1,0.44,19.3,8.0,18.0,4.61,13.73,1.99,0.179,1.811,0.99,29.12,77.67
59,1.2,0.15,22.9,5.0,4.0,1.15,3.25,0.0,0.0,0.0,1.19,28.35,80.74
60,3.1,0.38,25.2,12.0,15.0,2.45,12.08,2.04,0.136,1.903,1.84,29.95,73.85
61,2.9,0.19,32.7,13.0,7.0,1.04,5.81,1.986,0.036000000000000004,1.95,2.57,29.19,78.6
62,3.3,0.23,25.8,14.0,11.0,2.02,9.43,2.119,0.095,2.024,1.91,29.41,78.24
63,3.6,0.28,30.0,13.0,13.0,2.11,10.38,2.032,0.115,1.9169999999999998,2.04,28.82,79.06
64,2.9,0.26,24.5,9.0,12.0,2.0,10.0,0.0,0.0,0.0,2.67,29.33,79.84
65,7.9,0.33,24.7,11.0,20.0,5.56,14.38,1.935,0.13699999999999998,1.798,2.11,30.16,79.42
66,2.2,0.3,28.2,12.0,13.0,2.2,10.91,1.9240000000000002,0.10300000000000001,1.82,2.28,29.01,79.59
67,2.8,0.29,27.6,12.0,16.0,3.83,12.05,1.99,0.158,1.8319999999999999,1.93,29.2,76.25
68,3.5,0.3,28.3,12.0,13.0,2.84,10.62,1.91,0.105,1.805,2.16,29.31,79.86
69,5.2,0.3,26.1,8.0,17.0,2.95,13.85,1.969,0.12,1.849,1.8,29.31,77.39
70,4.9,0.41,25.5,9.0,18.0,3.85,13.82,1.9809999999999999,0.159,1.8219999999999998,0.98,29.28,77.45
71,1.5,0.2,26.7,7.0,5.0,1.02,3.66,0.0,0.0,0.0,1.33,28.33,79.66
72,3.8,0.38,23.9,15.0,16.0,3.11,12.66,2.043,0.126,1.9169999999999998,1.78,30.26,66.68
73,2.9,0.17,30.1,13.0,6.0,1.01,5.1,1.9609999999999999,0.022000000000000002,1.939,2.26,28.99,74.75
74,3.6,0.24,22.3,19.0,13.0,2.64,10.71,2.227,0.085,2.142,1.77,29.34,73.11
75,3.8,0.25,27.5,15.0,12.0,2.2,10.24,1.9469999999999998,0.096,1.8519999999999999,2.0,28.98,73.24
76,3.0,0.25,22.6,12.0,11.0,2.15,9.19,0.0,0.0,0.0,2.58,29.5,73.83
77,9.4,0.23,22.9,11.0,18.0,4.3,13.59,1.89,0.111,1.7790000000000001,2.02,29.72,71.93
78,3.0,0.23,27.4,13.0,10.0,1.49,8.41,1.87,0.062,1.808,2.24,29.02,74.82
79,3.0,0.28,26.7,12.0,14.0,4.05,10.26,1.979,0.138,1.841,1.99,29.1,71.24
