SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
3.2,0.23,25.2,11,11.87,2.04,9.82,2.008,0.116,1.89,1.71,28.72,80.02
5.2,0.26,19.8,15,13.88,2.72,11.16,2.168,0.144,2.02,1.59,29.03,80.68
2.9,0.18,23.5,12,7.71,1.21,6.5,1.964,0.064,1.9,2.31,28.92,80.03
2,0.29,21.2,11,13.66,2.7,10.95,1.903,0.117,1.79,1.97,29.06,79.47
7.9,0.33,24.7,11,19.93,5.56,14.38,1.935,0.137,1.8,2.11,30.16,79.42
4.9,0.41,25.5,9,17.67,3.85,13.82,1.981,0.159,1.82,0.98,29.28,77.45
5.2,0.3,26.1,8,16.79,2.95,13.85,1.969,0.12,1.85,1.8,29.31,77.39
3.5,0.3,28.3,12,13.46,2.84,10.62,1.91,0.105,1.81,2.16,29.31,79.86
2.8,0.29,27.6,12,15.88,3.83,12.05,1.99,0.158,1.83,1.93,29.2,76.25
3.1,0.38,25.2,12,14.53,2.45,12.08,2.04,0.136,1.9,1.84,29.95,73.85
1.5,0.2,26.7,7,4.69,1.02,3.66,0,0,0,1.33,28.33,79.66
2.9,0.26,24.5,9,12,2,10,0,0,0,2.67,29.33,79.84
3.6,0.28,30,13,12.5,2.11,10.38,2.032,0.115,1.92,2.04,28.82,79.06
3.3,0.23,25.8,14,11.44,2.02,9.43,2.119,0.095,2.02,1.91,29.41,78.24
2.9,0.19,32.7,13,6.85,1.04,5.81,1.986,0.036,1.95,2.57,29.19,78.6
2.2,0.3,28.2,12,13.12,2.2,10.91,1.924,0.103,1.82,2.28,29.01,79.59
9.4,0.23,22.9,11,17.9,4.3,13.59,1.89,0.111,1.78,2.02,29.72,71.93
5.4,0.31,24.3,13,15.08,3.02,12.06,1.911,0.113,1.8,0.94,29.11,72.23
5.7,0.23,24.1,8,15.08,2.6,12.49,1.967,0.084,1.88,1.66,29.34,72.57
3.5,0.22,27.7,13,10.1,2.04,8.07,1.836,0.052,1.78,2.3,29.06,75.59
3,0.28,26.7,12,14.31,4.05,10.26,1.979,0.138,1.84,1.99,29.1,71.24
3.8,0.38,23.9,15,15.78,3.11,12.66,2.043,0.126,1.92,1.78,30.26,66.68
2.1,0.21,28.4,12,6.62,0.89,5.71,0,0,0,1.3,29.21,71.23
3,0.25,22.6,12,11.34,2.15,9.19,0,0,0,2.58,29.5,73.83
3.8,0.25,27.5,15,12.45,2.2,10.24,1.947,0.096,1.85,2,28.98,73.24
3.6,0.24,22.3,19,13.35,2.64,10.71,2.227,0.085,2.14,1.77,29.34,73.11
2.9,0.17,30.1,13,6.12,1.01,5.1,1.961,0.022,1.94,2.26,28.99,74.75
3,0.23,27.4,13,9.91,1.49,8.41,1.87,0.062,1.81,2.24,29.02,74.82
7.1,0.34,35.9,21,20.21,2.8,17.43,1.982,0.129,1.85,2.05,26.63,66.87
4.5,0.45,36.9,22,19.23,3.16,16.07,2.046,0.162,1.88,0.99,26.2,68.1
4.6,0.38,33.5,24,17.75,1.78,15.97,2.069,0.108,1.96,1.68,26.43,68.04
3.2,0.35,43,23,12.99,2.02,10.98,1.941,0.088,1.85,2.37,25.87,70.89
3.1,0.36,39.7,28,15.85,3.4,12.45,2.076,0.155,1.92,2.08,25.72,68.06
4,0.46,35.2,24,17.13,2.3,14.83,2.114,0.151,1.96,1.74,27.11,63.27
2.1,0.3,37.7,20,7.77,0.93,6.82,0,0,0,1.25,26.12,69.67
3.2,0.35,33.4,24,13.74,1.64,12.09,0,0,0,2.48,26.21,70.6
3.8,0.35,40.1,25,15.28,1.86,13.41,2.027,0.127,1.9,1.95,25.89,69.29
4,0.35,34.8,27,16.24,2.08,14.16,2.283,0.119,2.17,1.78,26.38,70.81
4,0.29,43,21,10.19,0.96,9.23,2.061,0.053,2.01,2.37,26.17,71.39
3.5,0.33,42.3,22,12.97,1.23,11.74,2.003,0.093,1.91,2.4,25.91,70.49
6.3,0.45,36,32,27.29,3.54,23.75,2.074,0.164,1.91,2.01,23.84,65.19
4.2,0.64,34.7,36,26.96,4.59,22.37,2.214,0.235,1.98,1.11,23.48,65.56
4.4,0.53,33.3,35,24.39,3.49,20.91,2.219,0.176,2.04,1.65,23.64,66.96
3,0.46,41,33,18.23,2.73,15.5,2.07,0.147,1.92,2.28,22.94,68.79
3,0.43,39,34,21.41,4.87,16.54,2.16,0.169,1.99,2.07,22.59,67.73
3.9,0.54,31.6,33,21.45,2.67,18.78,2.227,0.192,2.04,1.74,24.21,61.94
1.8,0.32,40,24,9.19,1.4,7.78,0,0,0,1.24,23.01,69.31
3.4,0.42,33.5,33,18.33,2.35,15.98,0,0,0,2.47,23.03,71.17
3.7,0.42,39.5,35,21.1,2.87,18.23,2.175,0.172,2,1.89,22.9,68.07
5.4,0.44,35.6,35,21.99,2.66,19.33,2.411,0.179,2.23,1.8,24.17,68.75
4.7,0.39,42.2,25,16.98,1.91,15.07,2.249,0.117,2.13,2.44,23.44,70.23
3.3,0.46,41.3,31,19.6,2.16,17.43,2.142,0.149,1.99,2.34,22.81,70.07
4.3,0.59,24.8,39,32.38,5.31,27.07,2.148,0.204,1.95,1.88,20.02,70.41
3.5,0.77,23.1,44,32.53,6.99,25.55,2.321,0.288,2.03,1.19,19.51,71.25
3.1,0.67,24.2,41,28.57,5.16,23.41,2.264,0.21,2.05,1.78,19.67,72.5
2.4,0.56,28.5,41,22.86,3.42,19.44,2.14,0.179,1.96,2.55,18.88,74.1
2.2,0.49,28.7,41,21.14,4.8,16.33,2.159,0.152,2.01,2.31,18.17,74.41
3.8,0.61,21.4,45,27.11,3.95,23.16,2.282,0.227,2.06,1.67,19.98,68.65
1.6,0.41,27.2,30,10.35,1.39,8.96,0,0,0,1.07,19.3,76.59
