SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2,0.41,26.5,23,15,2.87,12.36,0,0,0,1.29,22.43,74.76
2.2,0.52,23.6,30,23,4.45,18.88,2.034,0.2,1.833,1.39,23.2,74.37
3.1,0.39,26.1,31,18,2.13,16.24,0,0,0,1.37,22.78,78.8
1.9,0.34,26.7,25,12,2.24,9.38,0,0,0,1.54,26.1,70.07
3.2,0.32,30.4,29,12,1.29,10.98,0,0,0,1.33,26.59,80.69
2.2,0.44,25.7,32,16,3.4,12.78,1.944,0.143,1.801,1.43,27.75,71.11
2.7,0.27,27.3,17,9,1.24,8.17,0,0,0,1.55,26.76,82.56
1.9,0.37,24.1,20,13,3.07,10.34,1.907,0.12,1.787,1.74,28,75.58
1.9,0.29,25.9,18,10,1.93,7.83,0,0,0,1.58,26.22,81.9
2.2,0.23,32.6,20,8,0.84,6.78,0,0,0,1.41,27.83,81.07
1.8,0.27,32.8,20,8,1.32,7.06,0,0,0,1.66,27.3,79.79
2.3,0.34,29.7,24,13,3.01,9.88,1.869,0.099,1.77,1.56,29.06,73.96
2.4,0.17,25.4,13,7,0.95,5.79,0,0,0,1.54,28.43,76.17
1.7,0.21,25.6,14,8,1.67,6.62,0,0,0,1.73,27.35,77.62
2.1,0.24,22.9,16,9,2.71,6.6,1.728,0.07,1.657,1.92,29.58,69.87
2.2,0.25,22.1,13,10,3.1,6.88,1.711,0.073,1.638,1.83,28.83,72.72
1.7,0.22,23,10,8,1.75,6.63,0,0,0,1.63,26.4,80.77
2.3,0.18,22.7,9,7,1.53,5.64,0,0,0,1.54,27.77,79.4
1.8,0.32,29,17,10,1.79,8.38,0,0,0,1.6,25.09,80.1
2.4,0.37,26.6,22,14,3.15,10.6,1.868,0.109,1.758,1.7,27.88,72.15
2.7,0.27,26.7,19,11,1.3,9.78,0,0,0,1.48,26.82,77.97
1.5,0.38,30.1,26,12,1.84,10.54,0,0,0,1.6,23.24,78.63
2.8,0.48,25.5,34,17,2.95,14.11,1.967,0.151,1.816,1.53,25.51,74.29
3.1,0.37,27.9,32,14,1.41,12.26,0,0,0,1.49,24.72,78.05
1.8,0.5,26.1,27,18,3.18,14.79,0,0,0,1.33,17.81,80.23
3.2,0.47,25.1,33,21,3.1,17.85,0,0,0,1.39,18.22,79.37
2.9,0.62,22.5,38,27,6.01,20.99,2.14,0.27,1.87,1.4,18.72,77.96
1.4,0.49,23.5,29,15,2.64,12.77,0,0,0,1.35,16.83,77.79
2.5,0.48,23.9,33,19,2.62,16.05,0,0,0,1.6,16.28,74.84
2.8,0.58,22,34,25,5.35,19.85,2.06,0.208,1.852,1.63,16.83,73.65
2.6,0.47,18.4,27,20,3.43,16.72,0,0,0,1.53,16.51,82.94
2.8,0.63,16.7,28,28,8.04,20.37,2.1,0.25,1.851,1.48,17.11,81.36
1.6,0.52,18.2,18,18,3.82,14.63,0,0,0,1.25,17.04,80.58
1.9,0.54,23.2,29,19,3.12,15.64,0,0,0,1.32,19.48,66.38
3.2,0.64,19.8,33,28,6.74,21.18,2.086,0.235,1.85,1.47,19.94,74.23
3.5,0.52,22.3,43,22,3.46,18.57,0,0,0,1.42,19.42,75.56
1.9,0.46,32.3,32,16,2.12,13.8,0,0,0,1.44,23.29,71.02
3.2,0.57,27.3,29,24,4.46,19.08,2.036,0.207,1.829,1.42,24.61,71.41
3.1,0.43,30.9,41,19,2.42,16.09,0,0,0,1.31,24.21,74.24
1.6,0.42,36.3,37,12,1.58,10.57,0,0,0,1.54,25.1,74.15
2.6,0.38,33.6,36,14,1.86,12.52,0,0,0,1.33,25.87,78.61
2.6,0.51,31.3,32,20,2.95,17.22,1.999,0.174,1.825,1.46,26.47,73.14
2.5,0.31,39.6,27,10,1.4,8.97,0,0,0,1.46,27.48,75.44
2.2,0.46,33.9,24,15,2.32,12.43,1.973,0.148,1.824,1.71,27.25,71.97
1.8,0.38,39.4,31,11,1.86,9.3,0,0,0,1.66,26.21,73.58
2.2,0.22,24.3,12,8,1.83,6.62,0,0,0,1.49,27.34,80.79
1.5,0.27,23.2,14,10,2.17,8.18,0,0,0,1.51,25.97,76.37
1.8,0.32,21.5,12,11,2.85,7.86,1.843,0.097,1.746,1.8,27.95,75.22
2.1,0.2,26.9,13,7,1.27,6.09,0,0,0,1.59,28.31,76
1.3,0.25,28,20,9,1.92,7.46,0,0,0,1.67,27.01,73.26
1.8,0.28,25.2,13,10,1.94,8.01,1.817,0.082,1.735,1.99,30.28,70.04
1.6,0.25,20.3,10,10,2.28,7.67,1.778,0.07,1.708,1.94,31.01,67.75
1.3,0.23,24,18,9,2.08,7.37,0,0,0,1.69,28.2,72.16
2.1,0.18,21.8,12,8,1.58,6.36,0,0,0,1.52,29.16,73
1.4,0.31,24.9,19,12,2.21,9.78,0,0,0,1.44,25.83,75.98
2.1,0.35,23.2,17,14,2.61,11.68,0,0,0,1.74,28.3,74.36
2.1,0.24,24.6,18,12,2.46,9.68,0,0,0,1.51,26.63,79.08
1.9,0.37,38.6,31,13,1.77,11.35,0,0,0,1.77,24.14,66.18
2.5,0.42,30.2,24,17,2.39,14.29,0,0,0,1.76,25.59,67.18
2.7,0.33,33.7,30,16,2.55,13.06,0,0,0,1.69,24.23,69.29
2.1,0.54,34.2,50,17,1.89,14.79,0,0,0,1.5,21.14,70.99
2.7,0.47,26.8,48,21,3.29,17.95,0,0,0,1.46,20.78,74.91
2.7,0.58,24.4,39,23,3.55,19.75,0,0,0,1.48,21.98,73.16
1.9,0.56,33.1,49,18,1.98,15.6,0,0,0,1.45,18.05,67.89
2.5,0.51,30,51,19,2.39,16.18,0,0,0,1.43,18.13,70.48
2.5,0.59,25.7,41,24,4.12,19.71,0,0,0,1.53,19.16,70.57
3,0.5,27.7,52,21,2.65,18.25,0,0,0,1.35,16.4,70.32
2.8,0.62,22.8,41,27,5.1,21.87,0,0,0,1.45,17.85,70.54
2.1,0.53,29.8,40,18,2.34,15.77,0,0,0,1.39,16.92,67.52
2,0.52,20.9,35,18,3.28,14.76,0,0,0,1.25,17.06,73.56
2.7,0.66,17,41,29,7.05,22.35,0,0,0,1.47,17.66,74.26
2.9,0.49,19.7,42,23,3.71,19.02,0,0,0,1.41,16.13,75.28
2.1,0.51,35.8,46,16,1.83,13.99,0,0,0,1.38,22.17,69.69
2.7,0.6,28.4,42,24,4.35,19.24,0,0,0,1.44,24.05,71.98
2.9,0.45,33.1,48,20,2.4,17.33,0,0,0,1.34,22.09,74.11
2.2,0.43,44.2,42,14,1.36,12.19,0,0,0,1.57,25.09,66.93
2.9,0.38,43.4,37,15,1.36,13.87,0,0,0,1.38,24.44,70.59
2.5,0.51,36.9,37,20,2.4,17.11,0,0,0,1.57,26.51,67.92
2.6,0.25,33.3,20,10,1.61,8.12,0,0,0,1.43,27.43,78.87
2.4,0.37,30.4,24,13,1.97,10.63,0,0,0,1.63,30.24,73.53
2.1,0.3,33.3,27,10,1.32,8.29,0,0,0,1.76,28.06,71.31
2.3,0.17,26.4,9,7,1.35,5.95,0,0,0,1.55,27.43,77.61
1.9,0.24,25,16,8,1.55,6.82,0,0,0,1.64,27.34,74.24
1.9,0.26,25.5,14,9,1.61,7.61,0,0,0,1.86,29.55,72.8
2.4,0.19,27.9,13,8,1.33,6.51,0,0,0,1.63,28.41,74.89
2.1,0.25,29.4,22,8,1.18,7.11,0,0,0,1.71,28.32,72.79
2.4,0.29,26.4,21,11,1.84,8.79,0,0,0,1.85,30.24,70.49
1.8,0.3,22.5,18,11,1.99,9.39,0,0,0,1.8,28.92,74.98
1.8,0.28,24.2,14,9,1.7,7.39,0,0,0,1.45,26.36,79.64
2.2,0.21,23.7,7,9,1.59,7.16,0,0,0,1.47,27.24,78.8
1.8,0.35,19.9,17,12,2.5,9.72,0,0,0,1.26,23.89,81.5
2,0.41,20.5,24,16,2.84,12.91,0,0,0,1.49,26.14,79.35
1.9,0.27,22.5,11,12,2.06,9.91,0,0,0,1.31,24.76,81.52
2.1,0.46,36.8,43,14,1.29,12.27,0,0,0,1.63,23.35,72.8
