序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","平均風速<br />WS_HR<br />(m/sec)","平均風向<br />WD_HR<br />(degress)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
881,高雄市,2002/10,復興,10.0,1.16,-,-,94,-,41.23,9.51,31.71,3.158,0.68,2.48,-,-,27.53,-,-,-,-
882,高雄市,2002/10,小港,11.3,0.79,-,37.2,85,-,37.71,7.38,30.33,2.45,0.37,2.08,-,-,27.05,-,-,-,-
883,高雄市,2002/10,鳳山,9.6,0.89,-,37.8,79,36,30.53,7.95,22.59,-,-,-,-,-,26.39,-,-,-,-
884,高雄市,2002/10,林園,10.1,0.86,-,44.8,99,63,19.7,2.31,17.38,2.676,0.46,2.22,-,-,27.24,-,-,-,-
885,高雄市,2002/10,大寮,7.9,1.1,-,35.1,82,-,25.84,3.22,22.62,-,-,-,-,-,27.32,-,-,-,-
886,高雄市,2002/10,仁武,11.1,0.64,-,37.0,78,-,32.11,6.24,25.87,2.426,0.28,2.15,-,-,26.51,-,-,-,-
887,高雄市,2002/10,橋頭,4.6,1.08,-,33.8,44,-,24.96,3.91,21.06,2.172,0.14,2.03,-,-,26.9,-,-,-,-
888,高雄市,2002/10,美濃,2.1,0.56,-,47.9,75,-,12.85,0.72,12.13,-,-,-,-,-,26.39,-,-,-,-
889,高雄市,2002/09,左營,5.9,0.7,-,35.3,51,-,23.23,4.46,18.76,2.051,0.26,1.79,-,-,27.79,-,-,-,-
890,高雄市,2002/09,楠梓,7.1,0.59,-,29.4,56,-,25.96,6.25,19.72,2.164,0.16,2.01,-,-,28.11,-,-,-,-
891,高雄市,2002/09,前金,6.3,0.74,-,41.4,51,-,26.63,6.01,20.75,-,-,-,-,-,28.05,-,-,-,-
892,高雄市,2002/09,前鎮,9.5,-,-,-,61,-,30.16,7.35,22.81,2.429,0.36,2.07,-,-,28.19,-,-,-,-
893,高雄市,2002/09,復興,9.8,0.9,-,-,62,-,33.82,7.91,25.91,2.662,0.48,2.18,-,-,28.39,-,-,-,-
894,高雄市,2002/09,小港,11.2,0.68,-,31.3,60,-,29.81,7.28,22.53,2.222,0.24,1.98,-,-,27.98,-,-,-,-
895,高雄市,2002/09,鳳山,5.5,0.83,-,31.0,53,29,25.93,6.87,19.06,-,-,-,-,-,28.74,-,-,-,-
896,高雄市,2002/09,林園,-,0.61,-,36.7,65,-,13.35,2.61,10.9,2.498,0.37,2.13,-,-,27.73,-,-,-,-
897,高雄市,2002/09,大寮,4.1,0.79,-,29.5,48,-,17.09,3.63,13.46,2.171,0.14,2.03,-,-,27.98,-,-,-,-
898,高雄市,2002/09,仁武,7.2,0.53,-,32.9,53,-,24.14,4.71,19.44,2.29,0.19,2.1,-,-,27.71,-,-,-,-
899,高雄市,2002/09,橋頭,4.9,0.95,-,28.6,35,-,22.97,4.2,18.78,2.052,0.12,1.94,-,-,27.89,-,-,-,-
900,高雄市,2002/09,美濃,1.5,0.43,-,42.7,52,-,9.04,0.72,8.33,-,-,-,-,-,27.35,-,-,-,-
901,高雄市,2002/08,左營,4.3,0.58,-,25.9,34,-,17.18,4.38,12.79,1.861,0.2,1.66,-,-,28.68,-,-,-,-
902,高雄市,2002/08,楠梓,5.7,0.47,-,20.3,43,-,23.15,8.03,15.13,2.087,0.19,1.9,-,-,28.9,-,-,-,-
903,高雄市,2002/08,前金,4.1,0.57,-,32.7,37,-,18.55,3.94,14.94,-,-,-,-,-,28.93,-,-,-,-
904,高雄市,2002/08,前鎮,7.0,-,-,-,47,-,20.51,5.35,15.16,2.023,0.25,1.77,-,-,28.98,-,-,-,-
905,高雄市,2002/08,復興,4.9,0.66,-,-,46,-,24.78,6.4,18.39,2.56,0.43,2.13,-,-,29.12,-,-,-,-
906,高雄市,2002/08,小港,10.7,0.56,-,20.3,44,-,23.52,6.89,16.63,1.983,0.16,1.83,-,-,28.75,-,-,-,-
907,高雄市,2002/08,鳳山,3.7,0.7,-,22.4,38,24,20.9,5.46,15.44,-,-,-,-,-,29.51,-,-,-,-
908,高雄市,2002/08,林園,1.3,0.39,-,27.5,45,18,-,-,-,-,-,-,-,-,28.73,-,-,-,-
909,高雄市,2002/08,大寮,2.8,0.66,-,21.4,33,-,15.44,2.77,12.67,2.078,0.12,1.96,-,-,29.01,-,-,-,-
910,高雄市,2002/08,仁武,4.3,0.38,-,24.1,34,-,18.6,4.12,14.48,2.117,0.13,1.98,-,-,28.55,-,-,-,-
911,高雄市,2002/08,橋頭,4.0,0.86,-,19.6,25,-,18.35,5.06,13.28,1.965,0.09,1.87,-,-,28.72,-,-,-,-
912,高雄市,2002/08,美濃,1.1,0.4,-,30.2,39,-,8.13,1.04,7.1,-,-,-,-,-,27.66,-,-,-,-
913,高雄市,2002/07,左營,3.5,0.57,-,20.6,28,-,14.92,3.68,11.25,1.871,0.14,1.74,-,-,28.91,-,-,-,-
914,高雄市,2002/07,楠梓,5.9,0.38,-,16.6,35,-,20.01,5.14,14.88,1.965,0.14,1.82,-,-,29.04,-,-,-,-
915,高雄市,2002/07,前金,3.9,0.65,-,23.2,30,-,17.28,3.61,13.67,-,-,-,-,-,29.5,-,-,-,-
916,高雄市,2002/07,前鎮,10.8,-,-,-,39,-,22.01,7.75,14.26,1.968,0.32,1.65,-,-,29.19,-,-,-,-
917,高雄市,2002/07,復興,4.5,0.66,-,-,42,-,24.04,8.46,15.6,2.419,0.37,2.05,-,-,29.31,-,-,-,-
918,高雄市,2002/07,小港,8.3,0.46,-,18.1,39,-,22.67,6.33,16.34,1.982,0.19,1.79,-,-,28.93,-,-,-,-
919,高雄市,2002/07,鳳山,3.7,0.64,-,19.5,40,24,21.0,5.88,15.12,-,-,-,-,-,29.54,-,-,-,-
920,高雄市,2002/07,林園,2.1,0.49,-,25.8,48,19,8.58,2.28,6.3,-,-,-,-,-,28.97,-,-,-,-
921,高雄市,2002/07,大寮,1.6,0.6,-,19.2,25,-,12.27,3.23,9.04,2.031,0.09,1.94,-,-,28.97,-,-,-,-
922,高雄市,2002/07,仁武,4.8,0.33,-,20.9,28,-,18.14,4.98,13.15,2.05,0.1,1.95,-,-,28.69,-,-,-,-
923,高雄市,2002/07,橋頭,2.8,0.87,-,16.1,20,-,15.64,3.82,11.81,1.888,0.06,1.83,-,-,29.01,-,-,-,-
924,高雄市,2002/07,美濃,0.6,0.34,-,28.8,32,-,6.91,0.77,6.14,-,-,-,-,-,27.94,-,-,-,-
925,高雄市,2002/06,左營,3.3,0.62,-,17.1,25,-,15.5,4.23,11.27,1.948,0.16,1.79,-,-,29.58,-,-,-,-
926,高雄市,2002/06,楠梓,4.3,0.35,-,14.4,34,-,19.32,5.79,13.53,1.978,0.13,1.85,-,-,29.07,-,-,-,-
927,高雄市,2002/06,前金,3.1,0.52,-,22.7,23,-,14.71,3.62,11.09,-,-,-,-,-,28.49,-,-,-,-
928,高雄市,2002/06,前鎮,7.7,-,-,-,30,-,18.27,5.94,12.33,1.983,0.26,1.73,-,-,29.18,-,-,-,-
929,高雄市,2002/06,復興,5.5,0.62,-,-,30,-,21.86,7.47,14.39,2.344,0.31,2.03,-,-,29.16,-,-,-,-
930,高雄市,2002/06,小港,6.0,0.37,-,14.9,30,-,19.81,5.61,14.2,1.967,0.15,1.81,-,-,28.78,-,-,-,-
931,高雄市,2002/06,鳳山,3.7,0.63,-,15.5,32,19,21.55,6.76,14.79,-,-,-,-,-,29.94,-,-,-,-
932,高雄市,2002/06,林園,0.8,0.4,-,20.9,30,22,7.2,2.24,5.14,-,-,-,-,-,29.18,-,-,-,-
933,高雄市,2002/06,大寮,1.9,0.91,-,15.1,23,-,13.66,3.16,10.51,2.135,0.13,2.0,-,-,28.36,-,-,-,-
934,高雄市,2002/06,仁武,3.7,0.4,-,19.1,25,-,17.26,4.62,12.64,2.129,0.11,2.02,-,-,28.76,-,-,-,-
935,高雄市,2002/06,橋頭,2.7,0.95,-,14.3,19,-,16.23,5.35,10.85,1.98,0.06,1.91,-,-,29.08,-,-,-,-
936,高雄市,2002/06,美濃,1.4,0.36,-,28.5,33,-,8.94,1.05,7.89,-,-,-,-,-,29.54,-,-,-,-
937,高雄市,2002/05,左營,4.0,0.76,-,33.5,43,-,18.67,3.5,15.17,1.995,0.16,1.84,-,-,26.97,-,-,-,-
938,高雄市,2002/05,楠梓,4.3,0.5,-,25.3,52,-,22.71,4.62,18.09,2.014,0.12,1.89,-,-,27.47,-,-,-,-
939,高雄市,2002/05,前金,3.9,0.65,-,39.3,42,-,18.21,2.64,15.57,-,-,-,-,-,27.39,-,-,-,-
940,高雄市,2002/05,前鎮,8.9,-,-,-,55,-,25.73,5.8,19.93,2.079,0.26,1.82,-,-,27.67,-,-,-,-
941,高雄市,2002/05,復興,7.2,0.89,-,-,54,-,30.85,7.91,22.94,2.563,0.43,2.14,-,-,27.68,-,-,-,-
942,高雄市,2002/05,小港,8.3,0.54,-,27.6,50,-,29.54,6.35,23.19,2.127,0.23,1.9,-,-,27.36,-,-,-,-
943,高雄市,2002/05,鳳山,5.3,0.73,-,26.1,52,34,26.22,6.7,19.51,-,-,-,-,-,28.2,-,-,-,-
944,高雄市,2002/05,林園,2.5,0.39,-,38.6,53,32,8.73,1.11,7.38,2.133,0.16,1.98,-,-,27.46,-,-,-,-
945,高雄市,2002/05,大寮,4.5,0.92,-,26.8,49,-,-,-,-,2.285,0.18,2.1,-,-,26.54,-,-,-,-
946,高雄市,2002/05,仁武,7.2,0.51,-,32.1,47,-,22.36,4.49,17.88,2.257,0.15,2.11,-,-,27.11,-,-,-,-
947,高雄市,2002/05,橋頭,3.5,1.05,-,27.1,31,-,20.04,3.64,16.41,2.122,0.08,2.05,-,-,27.45,-,-,-,-
948,高雄市,2002/05,美濃,1.7,0.43,-,40.1,57,-,11.47,1.03,10.44,-,-,-,-,-,27.29,-,-,-,-
949,高雄市,2002/04,左營,7.5,0.76,-,32.3,51,-,22.77,4.21,18.55,2.125,0.25,1.88,-,-,25.92,-,-,-,-
950,高雄市,2002/04,楠梓,7.6,0.6,-,22.1,63,-,29.68,7.57,22.11,2.139,0.15,1.99,-,-,26.53,-,-,-,-
951,高雄市,2002/04,前金,6.5,0.62,-,39.9,55,-,21.8,3.56,18.24,-,-,-,-,-,26.22,-,-,-,-
952,高雄市,2002/04,前鎮,12.5,-,-,-,69,-,30.08,8.65,21.42,2.251,0.43,1.82,-,-,26.63,-,-,-,-
953,高雄市,2002/04,復興,10.5,0.9,-,-,67,-,33.8,8.97,24.83,2.473,0.4,2.07,-,-,26.94,-,-,-,-
954,高雄市,2002/04,小港,14.1,0.62,-,24.5,60,-,35.81,9.29,26.52,2.232,0.3,1.94,-,-,26.5,-,-,-,-
955,高雄市,2002/04,鳳山,10.5,0.75,-,24.3,68,40,36.9,12.92,23.98,-,-,-,-,-,27.46,-,-,-,-
956,高雄市,2002/04,林園,6.6,0.46,-,32.7,76,43,16.77,4.47,12.54,2.276,0.28,1.99,-,-,26.69,-,-,-,-
957,高雄市,2002/04,大寮,7.0,0.68,-,23.8,63,-,23.01,4.16,19.05,2.335,0.21,2.13,-,-,25.89,-,-,-,-
958,高雄市,2002/04,仁武,9.7,0.57,-,28.3,57,-,27.94,6.42,21.52,2.355,0.22,2.13,-,-,26.15,-,-,-,-
959,高雄市,2002/04,橋頭,7.5,0.83,-,24.1,37,-,27.78,6.47,21.3,2.25,0.14,2.11,-,-,26.47,-,-,-,-
960,高雄市,2002/04,美濃,2.8,0.48,-,41.6,75,-,14.91,1.11,13.8,-,-,-,-,-,-,-,-,-,-
961,高雄市,2002/03,左營,5.8,0.78,-,37.1,67,-,26.0,4.45,21.51,2.262,0.29,1.97,-,-,23.21,-,-,-,-
962,高雄市,2002/03,楠梓,5.0,0.6,-,25.5,78,-,30.39,6.03,24.37,2.289,0.2,2.09,-,-,23.59,-,-,-,-
963,高雄市,2002/03,前金,5.3,0.74,-,51.6,78,-,26.01,3.36,22.71,-,-,-,-,-,23.73,-,-,-,-
964,高雄市,2002/03,前鎮,10.6,-,-,-,81,-,36.2,9.42,26.78,2.479,0.34,2.14,-,-,22.97,-,-,-,-
965,高雄市,2002/03,復興,9.9,1.06,-,-,91,-,43.94,13.17,30.77,2.53,0.45,2.08,-,-,24.32,-,-,-,-
966,高雄市,2002/03,小港,11.7,0.7,-,28.2,82,-,41.44,9.8,31.64,2.361,0.33,2.04,-,-,23.84,-,-,-,-
967,高雄市,2002/03,鳳山,9.2,0.73,-,27.9,95,49,37.43,11.85,25.58,-,-,-,-,-,24.73,-,-,-,-
968,高雄市,2002/03,林園,8.3,0.5,-,33.7,92,48,19.08,3.15,15.94,2.368,0.27,2.1,-,-,23.96,-,-,-,-
969,高雄市,2002/03,大寮,10.0,0.79,-,28.6,83,-,26.94,3.6,23.34,2.491,0.26,2.23,-,-,23.23,-,-,-,-
970,高雄市,2002/03,仁武,10.2,0.63,-,31.7,79,-,33.13,8.26,24.87,2.464,0.26,2.2,-,-,23.47,-,-,-,-
971,高雄市,2002/03,橋頭,5.4,0.83,-,29.6,50,-,27.55,4.78,22.78,2.276,0.13,2.15,-,-,23.33,-,-,-,-
972,高雄市,2002/03,美濃,2.5,0.51,-,35.9,93,-,15.81,1.14,14.67,-,-,-,-,-,23.02,-,-,-,-
973,高雄市,2002/02,左營,6.2,0.82,-,36.0,75,-,31.31,5.47,25.85,2.314,0.34,1.97,-,-,19.78,-,-,-,-
974,高雄市,2002/02,楠梓,3.9,0.63,-,26.6,80,-,32.48,6.51,25.97,2.354,0.18,2.17,-,-,20.02,-,-,-,-
975,高雄市,2002/02,前金,6.1,0.98,-,41.8,84,-,30.75,5.24,25.51,-,-,-,-,-,20.85,-,-,-,-
976,高雄市,2002/02,前鎮,9.5,-,-,-,95,-,47.13,12.62,34.51,2.655,0.42,2.24,-,-,20.96,-,-,-,-
977,高雄市,2002/02,復興,9.3,1.29,-,-,108,-,56.47,18.53,37.94,2.758,0.56,2.2,-,-,21.08,-,-,-,-
978,高雄市,2002/02,小港,12.1,0.89,-,32.9,91,-,54.41,16.09,38.32,2.554,0.4,2.15,-,-,20.71,-,-,-,-
979,高雄市,2002/02,鳳山,10.7,0.72,-,33.4,99,55,48.95,17.6,31.35,-,-,-,-,-,21.48,-,-,-,-
980,高雄市,2002/02,林園,11.9,0.59,-,36.4,104,60,28.28,5.68,22.62,2.626,0.39,2.24,-,-,20.91,-,-,-,-
981,高雄市,2002/02,大寮,11.5,0.84,-,32.8,92,-,33.27,5.33,28.07,2.55,0.3,2.26,-,-,19.9,-,-,-,-
982,高雄市,2002/02,仁武,11.4,0.68,-,32.4,85,-,39.11,9.88,29.23,2.693,0.4,2.29,-,-,20.07,-,-,-,-
983,高雄市,2002/02,橋頭,5.9,0.88,-,29.6,55,-,32.07,6.07,25.99,2.335,0.15,2.18,-,-,19.79,-,-,-,-
984,高雄市,2002/02,美濃,2.3,0.57,-,47.1,92,-,16.58,1.05,15.54,-,-,-,-,-,19.92,-,-,-,-
985,高雄市,2002/01,左營,7.8,0.93,-,30.7,96,-,40.95,9.16,31.79,2.436,0.46,1.97,-,-,18.78,-,-,-,-
986,高雄市,2002/01,楠梓,5.3,0.7,-,21.5,84,-,43.38,12.09,31.29,2.409,0.26,2.14,-,-,18.66,-,-,-,-
987,高雄市,2002/01,前金,7.6,0.9,-,42.2,90,-,41.55,7.53,34.02,-,-,-,-,-,19.62,-,-,-,-
988,高雄市,2002/01,前鎮,11.2,-,-,-,97,-,56.6,16.43,40.17,2.726,0.55,2.17,-,-,21.3,-,-,-,-
989,高雄市,2002/01,復興,10.6,1.41,-,-,124,-,68.43,25.04,43.39,3.118,0.8,2.31,-,-,20.0,-,-,-,-
990,高雄市,2002/01,小港,14.9,1.0,-,25.7,87,-,65.94,21.87,44.07,2.628,0.5,2.12,-,-,19.75,-,-,-,-
991,高雄市,2002/01,鳳山,12.8,0.57,-,25.4,95,58,59.86,24.55,35.31,-,-,-,-,-,20.18,-,-,-,-
992,高雄市,2002/01,林園,17.8,0.68,-,31.9,106,30,35.37,8.3,27.07,2.786,0.47,2.32,-,-,19.9,-,-,-,-
993,高雄市,2002/01,大寮,20.4,0.86,-,26.4,103,-,41.93,8.75,33.18,2.599,0.34,2.26,-,-,18.82,-,-,-,-
994,高雄市,2002/01,仁武,13.3,0.76,-,27.8,91,-,48.93,14.86,34.07,2.767,0.44,2.33,-,-,18.92,-,-,-,-
995,高雄市,2002/01,橋頭,6.3,0.94,-,24.3,58,-,39.83,9.34,30.5,2.379,0.19,2.19,-,-,18.47,-,-,-,-
996,高雄市,2002/01,美濃,2.3,0.55,-,35.8,90,-,19.11,2.41,16.71,-,-,-,-,-,18.63,-,-,-,-
997,高雄市,2001/12,左營,7.1,0.92,-,29.2,105,-,38.38,7.54,30.84,2.635,0.4,2.24,-,-,19.81,-,-,-,-
998,高雄市,2001/12,楠梓,4.7,0.74,-,21.4,99,-,41.67,10.99,30.68,2.433,0.25,2.18,-,-,19.9,-,-,-,-
999,高雄市,2001/12,前金,7.2,0.91,-,37.3,99,-,39.27,6.75,32.52,-,-,-,-,-,20.65,-,-,-,-
1000,高雄市,2001/12,前鎮,11.1,-,-,-,108,-,55.47,16.77,38.7,2.627,0.51,2.11,-,-,21.72,-,-,-,-
1001,高雄市,2001/12,復興,11.5,1.58,-,-,135,-,74.17,29.19,44.97,3.143,0.84,2.31,-,-,21.06,-,-,-,-
1002,高雄市,2001/12,小港,16.4,1.07,-,24.1,96,-,68.49,23.27,45.19,2.742,0.57,2.17,-,-,20.77,-,-,-,-
1003,高雄市,2001/12,鳳山,13.9,0.86,-,26.0,109,75,57.2,21.97,35.23,-,-,-,-,-,21.33,-,-,-,-
1004,高雄市,2001/12,林園,16.0,0.69,-,33.9,111,76,38.44,8.44,30.01,2.832,0.46,2.37,-,-,21.0,-,-,-,-
1005,高雄市,2001/12,大寮,12.3,0.86,-,26.2,115,-,41.63,7.02,34.61,2.669,0.39,2.28,-,-,20.01,-,-,-,-
1006,高雄市,2001/12,仁武,13.4,0.8,-,25.9,85,-,51.63,14.57,37.07,2.741,0.42,2.32,-,-,20.03,-,-,-,-
1007,高雄市,2001/12,橋頭,6.6,0.96,-,23.2,66,-,38.05,9.16,28.9,2.313,0.18,2.13,-,-,19.62,-,-,-,-
1008,高雄市,2001/12,美濃,2.1,0.59,-,31.5,103,-,22.26,3.51,18.75,-,-,-,-,-,19.78,-,-,-,-
1009,高雄市,2001/11,左營,8.7,0.9,-,34.3,116,-,39.1,7.27,31.83,2.688,0.42,2.27,-,-,21.71,-,-,-,-
1010,高雄市,2001/11,楠梓,5.5,0.68,-,24.9,89,-,38.17,8.22,29.96,2.395,0.25,2.15,-,-,21.74,-,-,-,-
1011,高雄市,2001/11,前金,8.5,0.93,-,40.9,93,-,39.11,5.61,33.5,-,-,-,-,-,21.94,-,-,-,-
1012,高雄市,2001/11,前鎮,12.7,-,-,-,107,-,52.7,14.46,38.24,2.666,0.54,2.12,-,-,22.36,-,-,-,-
1013,高雄市,2001/11,復興,13.1,1.64,-,-,143,-,77.04,31.02,46.02,3.153,0.87,2.29,-,-,22.97,-,-,-,-
1014,高雄市,2001/11,小港,17.2,1.02,-,26.3,103,-,69.89,23.62,46.28,2.669,0.54,2.13,-,-,22.72,-,-,-,-
1015,高雄市,2001/11,鳳山,15.6,0.83,-,31.4,108,84,55.28,19.28,36.0,-,-,-,-,-,22.77,-,-,-,-
1016,高雄市,2001/11,林園,15.9,0.52,-,39.8,111,69,32.89,6.12,26.77,2.834,0.52,2.32,-,-,22.78,-,-,-,-
1017,高雄市,2001/11,大寮,17.1,0.8,-,29.6,112,-,37.33,5.25,32.26,2.712,0.37,2.34,-,-,21.77,-,-,-,-
1018,高雄市,2001/11,仁武,14.4,0.74,-,29.9,106,-,52.03,14.82,37.2,3.002,0.49,2.51,-,-,21.9,-,-,-,-
1019,高雄市,2001/11,橋頭,6.8,0.91,-,29.3,64,-,35.66,7.16,28.5,2.407,0.21,2.2,-,-,21.45,-,-,-,-
1020,高雄市,2001/11,美濃,2.7,0.53,-,38.4,90,-,21.36,2.97,18.39,-,-,-,-,-,22.05,-,-,-,-
1021,高雄市,2001/10,左營,7.7,0.86,-,48.4,97,-,28.44,4.55,23.91,2.522,0.32,2.2,-,-,25.99,-,-,-,-
1022,高雄市,2001/10,楠梓,5.7,0.63,-,38.3,79,-,31.02,6.12,25.11,2.525,0.33,2.19,-,-,25.97,-,-,-,-
1023,高雄市,2001/10,前金,7.0,0.84,-,54.7,84,-,26.99,2.88,24.26,-,-,-,-,-,26.41,-,-,-,-
1024,高雄市,2001/10,前鎮,12.2,-,-,-,101,-,35.66,6.72,28.94,2.385,0.36,2.03,-,-,26.68,-,-,-,-
1025,高雄市,2001/10,復興,11.3,1.19,-,-,117,-,43.69,11.63,32.06,2.745,0.54,2.21,-,-,26.78,-,-,-,-
1026,高雄市,2001/10,小港,11.5,0.79,-,40.6,88,-,40.85,8.53,32.32,2.456,0.37,2.09,-,-,26.29,-,-,-,-
1027,高雄市,2001/10,鳳山,9.2,1.16,-,46.9,90,54,36.65,8.85,27.79,-,-,-,-,-,26.02,-,-,-,-
1028,高雄市,2001/10,林園,6.6,0.47,-,53.8,103,58,16.19,2.09,14.17,2.57,0.3,2.27,-,-,26.53,-,-,-,-
1029,高雄市,2001/10,大寮,9.8,0.78,-,40.2,95,-,27.55,-,24.64,2.79,0.34,2.45,-,-,25.87,-,-,-,-
1030,高雄市,2001/10,仁武,7.4,0.72,-,42.0,96,-,34.14,6.43,27.81,2.922,0.37,2.55,-,-,26.31,-,-,-,-
1031,高雄市,2001/10,橋頭,5.6,0.9,-,42.7,64,-,26.28,4.45,21.86,2.406,0.15,2.25,-,-,25.95,-,-,-,-
1032,高雄市,2001/10,美濃,2.4,0.55,-,46.7,85,-,16.76,0.92,15.83,-,-,-,-,-,25.9,-,-,-,-
1033,高雄市,2001/09,左營,5.3,0.8,-,35.3,47,-,22.24,5.81,16.45,2.424,0.26,2.16,-,-,26.57,-,-,-,-
1034,高雄市,2001/09,楠梓,4.7,0.5,-,28.3,43,-,24.82,4.8,20.02,2.416,0.26,2.16,-,-,26.7,-,-,-,-
1035,高雄市,2001/09,前金,6.2,0.77,-,32.3,44,-,23.79,5.37,18.42,-,-,-,-,-,27.09,-,-,-,-
1036,高雄市,2001/09,前鎮,8.9,-,-,-,60,-,28.06,7.31,20.72,2.24,0.31,1.93,-,-,27.25,-,-,-,-
1037,高雄市,2001/09,復興,8.1,1.11,-,-,68,-,37.02,12.26,24.77,2.712,0.51,2.2,-,-,27.16,-,-,-,-
1038,高雄市,2001/09,小港,10.8,0.79,-,26.4,52,-,36.9,9.71,27.2,2.306,0.3,2.01,-,-,26.43,-,-,-,-
1039,高雄市,2001/09,鳳山,8.0,1.11,-,33.3,47,37,28.08,7.59,20.49,-,-,-,-,-,25.23,-,-,-,-
1040,高雄市,2001/09,林園,9.0,0.54,-,36.2,61,38,17.3,3.21,14.09,2.505,0.29,2.22,-,-,26.79,-,-,-,-
1041,高雄市,2001/09,大寮,7.1,0.59,-,30.5,51,-,17.23,1.79,15.44,-,-,-,-,-,25.51,-,-,-,-
1042,高雄市,2001/09,仁武,8.1,0.55,-,30.3,54,-,25.36,6.02,19.15,3.103,0.34,2.76,-,-,26.75,-,-,-,-
1043,高雄市,2001/09,橋頭,4.2,0.77,-,30.2,38,-,17.78,3.51,14.28,2.191,0.1,2.09,-,-,26.61,-,-,-,-
1044,高雄市,2001/09,美濃,0.7,0.44,-,32.9,44,-,12.81,1.3,11.51,-,-,-,-,-,24.97,-,-,-,-
1045,高雄市,2001/08,左營,6.2,0.87,-,28.4,41,-,24.9,6.77,18.14,2.352,0.31,2.04,-,-,29.65,-,-,-,-
1046,高雄市,2001/08,楠梓,5.0,0.41,-,23.2,37,-,27.45,6.39,21.06,2.367,0.26,2.11,-,-,28.96,-,-,-,-
1047,高雄市,2001/08,前金,6.9,0.68,-,26.7,35,-,24.12,5.8,18.33,-,-,-,-,-,29.63,-,-,-,-
1048,高雄市,2001/08,前鎮,10.1,-,-,-,47,-,28.61,8.35,20.26,2.162,0.32,1.84,-,-,29.54,-,-,-,-
1049,高雄市,2001/08,復興,8.2,1.0,-,-,51,-,35.45,11.56,23.88,2.565,0.45,2.11,-,-,29.31,-,-,-,-
1050,高雄市,2001/08,小港,10.8,0.73,-,22.3,44,-,31.22,9.17,22.04,2.272,0.27,2.01,-,-,29.03,-,-,-,-
1051,高雄市,2001/08,鳳山,6.4,1.18,-,30.8,43,-,20.42,5.47,14.96,-,-,-,-,-,28.22,-,-,-,-
1052,高雄市,2001/08,林園,3.3,0.41,-,29.3,47,32,9.88,1.14,8.73,2.218,0.23,1.99,-,-,28.94,-,-,-,-
1053,高雄市,2001/08,大寮,10.2,0.55,-,22.2,46,-,16.96,2.14,14.84,2.408,0.18,2.22,-,-,28.27,-,-,-,-
1054,高雄市,2001/08,仁武,4.4,0.51,-,26.0,41,-,22.4,5.26,17.14,3.133,0.33,2.8,-,-,29.07,-,-,-,-
1055,高雄市,2001/08,橋頭,3.5,0.72,-,24.2,31,-,16.9,3.73,13.17,2.28,0.1,2.18,-,-,28.63,-,-,-,-
1056,高雄市,2001/08,美濃,0.3,0.44,-,29.6,38,-,8.04,1.01,7.03,-,-,-,-,-,27.67,-,-,-,-
1057,高雄市,2001/07,左營,4.9,0.76,-,25.1,38,-,21.9,6.85,15.05,2.268,0.24,2.03,-,-,26.87,-,-,-,-
1058,高雄市,2001/07,楠梓,3.7,0.46,-,19.0,43,-,24.78,7.25,17.53,2.341,0.26,2.08,-,-,28.48,-,-,-,-
1059,高雄市,2001/07,前金,6.1,0.74,-,21.1,36,-,23.62,7.79,15.83,-,-,-,-,-,28.73,-,-,-,-
1060,高雄市,2001/07,前鎮,9.7,-,-,-,46,-,26.96,8.96,18.0,2.185,0.35,1.84,-,-,29.03,-,-,-,-
1061,高雄市,2001/07,復興,8.1,0.95,-,-,49,-,31.58,11.08,20.5,2.5,0.4,2.1,-,-,28.98,-,-,-,-
1062,高雄市,2001/07,小港,11.3,0.74,-,17.5,42,-,33.19,11.2,22.0,2.192,0.26,1.94,-,-,28.92,-,-,-,-
1063,高雄市,2001/07,鳳山,6.7,1.15,-,25.6,46,-,21.01,6.26,14.76,-,-,-,-,-,29.52,-,-,-,-
1064,高雄市,2001/07,林園,4.3,0.39,-,24.4,42,34,10.48,2.08,8.41,2.18,0.26,1.92,-,-,28.47,-,-,-,-
1065,高雄市,2001/07,大寮,9.5,0.53,-,19.7,44,-,16.53,2.58,13.98,2.264,0.16,2.11,-,-,28.39,-,-,-,-
1066,高雄市,2001/07,仁武,4.4,0.48,-,22.0,36,-,23.35,5.93,17.43,2.936,0.29,2.64,-,-,29.61,-,-,-,-
1067,高雄市,2001/07,橋頭,3.0,0.69,-,18.6,27,-,20.07,7.49,12.53,2.08,0.09,2.0,-,-,28.07,-,-,-,-
1068,高雄市,2001/07,美濃,0.2,0.39,-,27.3,36,-,7.38,0.97,6.4,-,-,-,-,-,27.35,-,-,-,-
