SO2,CO,CO2,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
2.5,0.55,445.93,29.4,31,27.44,3.92,23.53,1.964,0.241,1.723,1.06,19.73,69.33
2.5,0.53,432.9,26.2,28,26.37,4.53,21.84,1.98,0.223,1.757,0.96,17.61,67.38
2.5,0.58,438.57,21.9,27,28.4,7.07,21.33,2.029,0.238,1.791,0.91,19.07,70.58
2.7,0.6,444.38,22.8,27,29.98,6.93,23.06,2.063,0.271,1.792,1.03,22.23,69.77
2.6,0.56,443.6,25.2,25,26.97,5.33,21.64,2.022,0.257,1.765,0.98,25.01,71.44
2.9,0.49,444.59,28.8,28,20.78,3.69,17.09,1.941,0.219,1.721,1.11,28.59,72.47
2.2,0.41,423.32,25.6,16,16.85,3.79,13.06,1.909,0.173,1.736,1.25,29.01,73.37
2.8,0.41,422.23,32,21,15.1,2.53,12.57,1.946,0.17,1.776,1.21,29.24,72.14
2.2,0.3,424.55,26,15,12.57,2.7,9.87,1.867,0.126,1.741,1.55,29.51,68.74
2.3,0.32,422.12,23,11,13.61,3.11,10.49,1.858,0.145,1.712,1.64,28.81,71.58
2.7,0.45,434.55,28.7,21,19.02,3.42,15.6,1.967,0.186,1.781,1.43,27.29,70.95
2.9,0.55,435.04,27.1,30,23.63,4.1,19.52,2.106,0.237,1.869,1.31,24.92,73.39
2.9,0.69,439.3,23.8,29,34.46,7.83,26.63,2.27,0.33,1.94,0.91,19.53,72.73
2.8,0.6,428.14,23.7,25,28.07,6.12,21.96,2.126,0.221,1.906,0.93,17.92,69.23
2.5,0.71,428.6,17.6,23,35.4,11.73,23.67,2.254,0.317,1.937,0.92,18.15,75.07
3.1,0.69,430.7,18.3,28,32.17,8.45,23.72,2.239,0.298,1.941,0.93,20.54,70.67
3.1,0.63,438.37,26.6,40,27.75,5.3,22.45,2.165,0.289,1.876,1.11,25.77,69.64
3.2,0.58,436.32,33,37,24.15,3.64,20.51,2.092,0.241,1.85,1.2,27.23,71
2.8,0.49,426.85,37.4,26,19.58,2.97,16.61,2.071,0.21,1.861,1.38,28.54,69.58
2.8,0.36,424.58,22.2,17,16.38,4.22,12.16,1.974,0.199,1.775,1.52,27.94,72.91
2.8,0.29,414.34,27,20,12.93,2.66,10.28,1.834,0.126,1.708,1.79,29.56,69.24
2.7,0.29,418.62,20.3,16,13.18,3.13,10.05,1.81,0.139,1.671,1.89,29.7,68.51
