SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity,Danger
3.2,0.49,32.4,40,23,1.9,21.16,2.193,0.174,2.02,2.21,24.04,80.53,1
4.1,0.49,29.7,39,26,4.5,21.6,2.306,0.251,2.055,1.74,24.55,78.44,1
3,0.39,36.5,25,17,2.23,15.02,2.078,0.151,1.926,1.83,26.93,77.07,0
4.6,0.62,35,26,24,3.82,20.25,2.178,0.231,1.946,0.99,27.86,72.09,0
6.7,0.42,35.8,29,24,2.92,20.71,2.128,0.2,1.929,1.85,28.63,71.31,0
3.5,0.43,40.5,28,16,1.62,14.48,2.11,0.143,1.966,2.24,27.53,74.28,0
3,0.38,35.7,31,16,2.16,13.99,0,0,0,2.22,27.14,77.14,0
5.2,0.38,33.6,29,19,3.17,15.73,2.369,0.188,2.181,1.64,27.68,75.02,0
4.2,0.47,37.8,32,20,2.37,17.61,2.147,0.159,1.988,1.55,27.85,72.56,0
3.6,0.41,40.6,27,20,1.76,17.75,2.164,0.157,2.008,2.18,26.96,77.42,0
5.6,0.35,43,27,13,0.91,11.73,2.196,0.093,2.104,2.2,27.85,75.13,0
1.9,0.3,37.1,25,8,1.46,6.83,0,0,0,0.88,27.38,77.51,0
4.1,0.39,39.1,28,19,2.88,15.63,2.192,0.204,1.988,1.71,27.26,75.83,0
4.4,0.52,36.1,26,20,1.81,17.96,2.236,0.208,2.028,1.67,27.49,72.86,0
4.5,0.31,34.6,20,13,1.71,10.81,1.958,0.096,1.862,2.24,29.72,75.18,0
3.8,0.43,31,20,15,1.83,13.34,2.095,0.141,1.954,1.76,30.05,72.71,0
4.5,0.23,35.3,21,8,1.09,6.9,2.021,0.054,1.969,2.39,30,76.06,0
3.3,0.32,31.2,21,15,2.65,12.31,2.052,0.192,1.86,1.71,29.82,76.24,0
3.3,0.29,31,23,13,2.13,11.16,0,0,0,2.32,30.18,75.72,0
4.1,0.26,28.9,23,13,2.97,10.35,2.219,0.131,2.088,1.8,30.17,75.29,0
4.1,0.29,34,20,14,1.46,12.4,2.015,0.096,1.92,2.3,29.44,77.95,0
4.5,0.31,34.1,22,14,2.21,11.35,2.06,0.123,1.937,1.89,29.79,76.14,0
5.9,0.48,29,19,19,3.76,15.1,2.031,0.172,1.859,0.95,30.74,71.51,0
5.8,0.32,29.9,21,17,3.01,13.87,2.006,0.11,1.896,1.67,30.12,73.72,0
8.8,0.32,28.3,21,20,3.71,16.23,1.987,0.14,1.847,2.07,30.92,72.28,0
2.1,0.23,35.4,25,6,0.89,4.73,0,0,0,0.93,29.77,75.73,0
3.1,0.41,20.3,14,14,2.34,12.1,2.053,0.152,1.901,1.81,29.86,75.56,0
8,0.28,18.2,16,19,4.72,13.86,1.938,0.132,1.806,2.07,31.02,74.46,0
1.6,0.19,22.7,18,4,0.92,3.12,0,0,0,1.16,29.18,76.11,0
3.7,0.26,23.4,16,12,2.09,10.37,2.016,0.107,1.91,1.83,29.41,80.07,0
4.9,0.42,18,14,18,4.46,13.47,1.985,0.16,1.826,0.99,30.13,73.05,0
5,0.3,17.5,14,16,3.06,13.34,1.941,0.102,1.839,1.57,30,75.79,0
3.5,0.28,21.8,12,11,2.02,9.26,1.889,0.093,1.796,2.16,29.08,77.4,0
3,0.27,19.6,14,14,3.73,10.58,1.885,0.16,1.726,1.56,29.72,77.16,0
3.2,0.25,21.8,13,13,1.74,10.95,1.977,0.108,1.869,2.13,29.55,79.14,0
1.8,0.25,20.8,17,12,2.64,9.07,0,0,0,2.37,30.85,76.46,0
3.9,0.25,17.7,16,14,2.95,10.56,2.168,0.138,2.03,1.69,29.89,77.55,0
3.9,0.18,24.8,0,7,0.97,6.36,1.953,0.05,1.904,2.36,29.65,78.17,0
2.9,0.22,22.7,16,12,2.4,9.22,0,0,0,2.6,29.22,69.7,0
3.8,0.37,22,12,14,2.85,11.52,2.03,0.146,1.885,1.91,30.55,69.79,0
1.6,0.17,26.8,17,5,1.02,3.59,0,0,0,1.32,28.59,76.51,0
4.1,0.26,22.9,11,13,2.78,10.42,1.914,0.111,1.802,2.37,29.86,68.37,0
3.2,0.26,23.4,13,16,4.23,11.96,1.903,0.145,1.758,1.97,29.68,73.67,0
4.8,0.29,19.8,12,15,3.04,12.32,1.933,0.106,1.827,2.08,30.2,71.23,0
8.1,0.25,20.2,12,16,4.04,11.74,1.956,0.133,1.823,2.31,30.73,72.43,0
5.3,0.27,26.8,15,13,2.42,10.82,2.025,0.122,1.903,2.14,29.88,76.23,0
3.8,0.19,20.1,13,12,2.69,9.35,2.145,0.141,2.004,2.18,29.6,76.23,0
3.7,0.27,23.1,13,16,2.56,13.31,2.007,0.136,1.87,2.43,30.12,68.55,0
2.9,0.13,23.9,12,6,1.49,4.97,1.996,0.039,1.961,2.94,30.19,71.56,0
