SO2,CO,O3,PM25,Nox,NO,NO2,THC,NMHC,CH4,WindSpeed,TEMP,Humidity
4,0.29,43,21,10.19,0.96,9.23,2.061,0.053,2.01,2.37,26.17,71.39
3.2,0.35,43,23,12.99,2.02,10.98,1.941,0.088,1.85,2.37,25.87,70.89
4,0.46,35.2,24,17.13,2.3,14.83,2.114,0.151,1.96,1.74,27.11,63.27
4.6,0.38,33.5,24,17.75,1.78,15.97,2.069,0.108,1.96,1.68,26.43,68.04
3.8,0.35,40.1,25,15.28,1.86,13.41,2.027,0.127,1.9,1.95,25.89,69.29
7.1,0.34,35.9,21,20.21,2.8,17.43,1.982,0.129,1.85,2.05,26.63,66.87
4,0.35,34.8,27,16.24,2.08,14.16,2.283,0.119,2.17,1.78,26.38,70.81
3,0.43,39,34,21.41,4.87,16.54,2.16,0.169,1.99,2.07,22.59,67.73
3,0.46,41,33,18.23,2.73,15.5,2.07,0.147,1.92,2.28,22.94,68.79
4.4,0.53,33.3,35,24.39,3.49,20.91,2.219,0.176,2.04,1.65,23.64,66.96
4.2,0.64,34.7,36,26.96,4.59,22.37,2.214,0.235,1.98,1.11,23.48,65.56
6.3,0.45,36,32,27.29,3.54,23.75,2.074,0.164,1.91,2.01,23.84,65.19
3.9,0.54,31.6,33,21.45,2.67,18.78,2.227,0.192,2.04,1.74,24.21,61.94
4.7,0.39,42.2,25,16.98,1.91,15.07,2.249,0.117,2.13,2.44,23.44,70.23
5.4,0.44,35.6,35,21.99,2.66,19.33,2.411,0.179,2.23,1.8,24.17,68.75
3.7,0.42,39.5,35,21.1,2.87,18.23,2.175,0.172,2,1.89,22.9,68.07
3.3,0.46,41.3,31,19.6,2.16,17.43,2.142,0.149,1.99,2.34,22.81,70.07
3.1,0.67,24.2,41,28.57,5.16,23.41,2.264,0.21,2.05,1.78,19.67,72.5
2.9,0.53,29.2,39,22.1,2.69,19.41,2.192,0.163,2.03,2.53,18.65,75.4
2.2,0.49,28.7,41,21.14,4.8,16.33,2.159,0.152,2.01,2.31,18.17,74.41
3.8,0.61,21.4,45,27.11,3.95,23.16,2.282,0.227,2.06,1.67,19.98,68.65
4.3,0.59,24.8,39,32.38,5.31,27.07,2.148,0.204,1.95,1.88,20.02,70.41
5.3,0.54,29,26,24.13,2.74,21.39,2.278,0.188,2.09,2.56,20.1,73.56
4,0.5,25.7,39,23.99,3.68,20.31,2.319,0.178,2.14,1.96,19.92,72.18
3.5,0.77,23.1,44,32.53,6.99,25.55,2.321,0.288,2.03,1.19,19.51,71.25
2.9,0.51,28,42,24.2,4.26,19.93,2.224,0.201,2.02,2.11,18.82,74.38
2.4,0.56,28.5,41,22.86,3.42,19.44,2.14,0.179,1.96,2.55,18.88,74.1
5.2,0.51,29.3,30,26.81,3.54,23.27,2.26,0.137,2.12,2.3,20.44,75.16
2.9,0.54,26.2,39,25.19,3.19,22,2.195,0.178,2.02,2.34,18.83,77.17
6,0.62,21.5,40,40.23,8.67,31.55,2.211,0.259,1.95,1.8,20.44,72.67
2.6,0.5,25.1,43,24.94,5.99,18.95,2.209,0.19,2.02,2.14,18.55,75.96
4,0.54,23.9,40,29.74,4.86,24.88,2.367,0.233,2.13,1.78,20.33,73.66
4.1,0.81,20.6,43,36,7.88,28.12,2.349,0.323,2.03,1.07,19.91,72.94
